Name,Ticker,Weighting
"Jiangsu Hengli Hydraulic Co., Ltd. Class A",601100.SS,0.17%
"Gotion High-tech Co., Ltd Class A",002074.SZ,0.17%
"Ningbo Tuopu Group Co., Ltd. Class A",601689.SS,0.17%
China Eastern Airlines Corporation Limited Class A,600115.SS,0.17%
"Asymchem Laboratories (Tianjin) Co., Ltd. Class A",002821.SZ,0.17%
Everbright Securities Company Limited Class A,601788.SS,0.17%
Xinjiang Daqo New Energy Co. Ltd. Class A,688303.SS,0.17%
"Ningxia Baofeng Energy Group Co., Ltd. Class A",600989.SS,0.16%
"Sichuan Road & Bridge Co., Ltd. Class A",600039.SS,0.16%
"Zhejiang Chint Electrics Co., Ltd Class A",601877.SS,0.16%
Guangzhou Shiyuan Electronic Technology Co. Ltd. Class A,002841.SZ,0.16%
Air China Limited Class A,601111.SS,0.16%
"Great Wall Motor Co., Ltd. Class A",601633.SS,0.16%
"Bank of Chengdu Co., Ltd. Class A",601838.SS,0.15%
"Hengli Petrochemical Co., Ltd. Class A",600346.SS,0.15%
HUAYU Automotive Systems Company Limited Class A,600741.SS,0.15%
"Shengyi Technology Co., Ltd. Class A",600183.SS,0.15%
Zhejiang NHU Co. Ltd. Class A,002001.SZ,0.15%
"Jiangsu Eastern Shenghong Co., Ltd. Class A",000301.SZ,0.15%
Ming Yang Smart Energy Group Limited Class A,601615.SS,0.15%
"Founder Securities Co., Ltd. Class A",601901.SS,0.15%
"Jinko Solar Co., Ltd. Class A",688223.SS,0.15%
"YTO Express Group Co.,Ltd. Class A",600233.SS,0.14%
Yankuang Energy Group Company Limited Class A,600188.SS,0.14%
"Henan Shuanghui Investment & Development Co., Ltd. Class A",000895.SZ,0.14%
Shanghai Pharmaceuticals Holding Co. Ltd. Class A,601607.SS,0.14%
"CGN Power Co., Ltd. Class A",003816.SZ,0.14%
Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited Class A,600332.SS,0.14%
Jiangxi Copper Company Limited Class A,600362.SS,0.14%
"HANGZHOU FIRST APPLIED MATERIAL CO.,LTD. Class A",603806.SS,0.14%
"Ningbo Deye Technology Co., Ltd. Class A",605117.SS,0.13%
"Guangzhou Automobile Group Co., Ltd. Class A",601238.SS,0.13%
China CITIC Bank Corporation Ltd Class A,601998.SS,0.13%
Hoshine Silicon Industry Co. Ltd. Class A,603260.SS,0.13%
Hualan Biological Engineering Inc. Class A,002007.SZ,0.13%
Beijing New Building Materials (Group) Co Ltd Class A,000786.SZ,0.13%
People\'s Insurance Co. (Group) of China Ltd. Class A,601319.SS,0.13%
Satellite Chemical Co. Ltd. Class A,002648.SZ,0.13%
StarPower Semiconductor Ltd. Class A,603290.SS,0.13%
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd. Class A,603392.SS,0.12%
"SDIC Capital Co., Ltd. Class A",600061.SS,0.12%
"Shandong Nanshan Aluminium Co., Ltd. Class A",600219.SS,0.12%
"Shanxi Coking Coal Energy Group Co., Ltd Class A",000983.SZ,0.12%
Topchoice Medical Corp. Class A,600763.SS,0.12%
"New Hope Liuhe Co., Ltd. Class A",000876.SZ,0.12%
"Spring Airlines Co., Ltd. Class A",601021.SS,0.12%
Dongfang Electric Corporation Limited Class A,600875.SS,0.12%
"Shennan Circuit Co., Ltd. Class A",002916.SZ,0.12%
Chongqing Brewery Co.Ltd Class A,600132.SS,0.12%
"Guosen Securities Co., Ltd. Class A",002736.SZ,0.12%
"LB Group Co., Ltd. Class A",002601.SZ,0.12%
Gongniu Group Co. Ltd. Class A,603195.SS,0.12%
Wuhan Guide Infrared Co. Ltd. Class A,002414.SZ,0.11%
Zheshang Securities Co. Ltd. Class A,601878.SS,0.11%
"Shanghai Jin Jiang International Hotels Co., Ltd. Class A",600754.SS,0.11%
"Flat Glass Group Co., Ltd. Class A",601865.SS,0.11%
Gemdale Corporation Class A,600383.SS,0.11%
"Yongxing Special Materials Technology Co., Ltd. Class A",002756.SZ,0.11%
"Avary Holding (Shenzhen) Co., Ltd. Class A",002938.SZ,0.11%
CNPC Capital Co Ltd Class A,000617.SZ,0.11%
"Oppein Home Group, Inc. Class A",603833.SS,0.10%
Qi An Xin Technology Group Inc. Class A,688561.SS,0.10%
"China Merchants Energy Shipping Co., Ltd. Class A",601872.SS,0.00%
"Shanxi Meijin Energy Co., Ltd. Class A",000723.SZ,0.10%
Zangge Mining Company Limited Class A,000408.SZ,0.10%
"Shanghai M&G Stationery, Inc.",603899.SS,0.10%
Ningbo Ronbay New Energy Technology Co. Ltd. Class A,688005.SS,0.01%
"Shanxi Lu\'An Environmental Energy Development Co., Ltd. Class A",601699.SS,0.01%
"China Galaxy Securities Co., Ltd. Class A",601881.SS,0.09%
"Changzhou Xingyu Automotive Lighting Systems Co., Ltd Class A",601799.SS,0.09%
Zhongtai Securities Co Ltd Class A,600918.SS,0.09%
"Shenzhen Overseas Chinese Town Co., Ltd. Class A",000069.SZ,0.09%
"Ecovacs Robotics Co., Ltd. Class A",603486.SS,0.09%
Huaneng Lancang River Hydropower Co Ltd Class A,600025.SS,0.09%
Bloomage Biotechnology Corp. Ltd. Class A,688363.SS,0.09%
"Shanghai International Port (Group) Co., Ltd. Class A",600018.SS,0.09%
"ENN Natural Gas Co., Ltd. Class A",600803.SS,0.09%
"Inner Mongolia Junzheng Energy & Chemical Group Co., Ltd. Class A",601216.SS,0.08%
Hoyuan Green Energy Co. Ltd. Class A,603185.SS,0.08%
"Citic Pacific Special Steel Group Co., Ltd. Class A",000708.SZ,0.08%
China Coal Energy Co. Ltd. Class A,601898.SS,0.08%
"Ningbo Shanshan Co., Ltd. Class A",600884.SS,0.08%
"Huafon Chemical Co., Ltd. Class A",002064.SZ,0.08%
"Xinjiang Tianshan Cement Co., Ltd. Class A",000877.SZ,0.07%
"Yunda Holding Co., Ltd. Class A",002120.SZ,0.07%
"FAW Jiefang Group Co., Ltd Class A",000800.SZ,0.06%
"Zhuzhou CRRC Times Electric Co., Ltd. Class A",688187.SS,0.06%
Cathay Biotech Inc. Class A,688065.SS,0.05%
Greenland Holdings Group Corporation Ltd Class A,600606.SS,0.05%
"Seazen Holdings Co.,Ltd. Class A",601155.SS,0.05%
Hongta Securities Co Ltd Class A,601236.SS,0.04%
China Oilfield Services Limited Class A,601808.SS,0.04%
Eastroc Beverage (Group) Co. Ltd. Class A,605499.SS,0.04%
China Longyuan Power Group Corporation Ltd Class A,001289.SZ,0.01%

