Name,Ticker,Weighting
Thaifoods Group Public Co. Ltd. NVDR,TFG.BK,0.09%
GFPT Public Co. Ltd. NVDR,GFPT.BK,0.09%
Absolute Clean Energy Public Co Ltd NVDR,ACE.BK,0.09%
One Enterprise Public Co. Ltd. NVDR,ONEE.BK,0.09%
Siamgas & Petrochemicals Public Co. Ltd. NVDR,SGP.BK,0.08%
Singha Estate Public Company Limited NVDR,S.BK,0.07%
WHA Utilities and Power Public Company Limited NVDR,WHAUP.BK,0.07%
Kerry Express (Thailand) Public Co Limited NVDR,KEX.BK,0.07%
Singer Thailand Public Co. Ltd. NVDR,SINGER.BK,0.06%
Polyplex (Thailand) Public Co. Ltd. NVDR,PTL.BK,0.05%
