Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SKYT,SKYWATER TECHNOLOGY INC,Information Technology,Equity,"2,737,095.68",0.01,"2,737,095.68","270,464.00",10.12,United States,NASDAQ,USD,1,USD,-
RCKY,ROCKY BRANDS INC,Consumer Discretionary,Equity,"2,729,438.06",0.01,"2,729,438.06","144,721.00",18.86,United States,NASDAQ,USD,1,USD,-
BIRD,ALLBIRDS INC CLASS A,Consumer Discretionary,Equity,"2,702,638.75",0.01,"2,702,638.75","2,162,111.00",1.25,United States,NASDAQ,USD,1,USD,-
LE,LAND END INC,Consumer Discretionary,Equity,"2,688,085.80",0.01,"2,688,085.80","314,396.00",8.55,United States,NASDAQ,USD,1,USD,-
MPX,MARINE PRODUCTS CORP,Consumer Discretionary,Equity,"2,688,476.22",0.01,"2,688,476.22","178,874.00",15.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
FTCI,FTC SOLAR INC,Industrials,Equity,"2,689,168.92",0.01,"2,689,168.92","953,606.00",2.82,United States,NASDAQ,USD,1,USD,-
CMRX,CHIMERIX INC,Health Care,Equity,"2,672,951.94",0.01,"2,672,951.94","1,830,789.00",1.46,United States,NASDAQ,USD,1,USD,-
BARK,BARK INC,Consumer Discretionary,Equity,"2,665,063.50",0.01,"2,665,063.50","2,422,785.00",1.1,United States,New York Stock Exchange Inc.,USD,1,USD,-
AADI,AADI BIOSCIENCE INC,Health Care,Equity,"2,656,884.00",0.01,"2,656,884.00","326,800.00",8.13,United States,NASDAQ,USD,1,USD,-
NOTV,INOTIV INC,Health Care,Equity,"2,659,081.73",0.01,"2,659,081.73","451,457.00",5.89,United States,NASDAQ,USD,1,USD,-
INBK,FIRST INTERNET BANCORP,Financials,Equity,"2,654,511.76",0.01,"2,654,511.76","198,691.00",13.36,United States,NASDAQ,USD,1,USD,-
AIP,ARTERIS INC,Information Technology,Equity,"2,641,626.00",0.01,"2,641,626.00","376,300.00",7.02,United States,NASDAQ,USD,1,USD,-
HRTX,HERON THERAPEUTICS INC,Health Care,Equity,"2,628,765.44",0.01,"2,628,765.44","2,347,112.00",1.12,United States,NASDAQ,USD,1,USD,-
VERI,VERITONE INC,Information Technology,Equity,"2,620,012.29",0.01,"2,620,012.29","733,897.00",3.57,United States,NASDAQ,USD,1,USD,-
RSVR,RESERVOIR MEDIA INC,Communication,Equity,"2,600,902.58",0.01,"2,600,902.58","410,237.00",6.34,United States,NASDAQ,USD,1,USD,-
NUTX,NUTEX HEALTH INC,Health Care,Equity,"2,601,206.62",0.01,"2,601,206.62","5,654,797.00",0.46,United States,NASDAQ,USD,1,USD,-
PRCH,PORCH GROUP INC,Information Technology,Equity,"2,598,037.88",0.01,"2,598,037.88","1,869,092.00",1.39,United States,NASDAQ,USD,1,USD,-
NODK,NI HOLDINGS INC,Financials,Equity,"2,592,233.46",0.01,"2,592,233.46","193,306.00",13.41,United States,NASDAQ,USD,1,USD,-
IGMS,IGM BIOSCIENCES INC,Health Care,Equity,"2,560,121.91",0,"2,560,121.91","241,749.00",10.59,United States,NASDAQ,USD,1,USD,-
FREE,WHOLE EARTH BRANDS INC CLASS A,Consumer Staples,Equity,"2,558,005.90",0,"2,558,005.90","882,071.00",2.9,United States,NASDAQ,USD,1,USD,-
KNTE,KINNATE BIOPHARMA INC,Health Care,Equity,"2,528,975.68",0,"2,528,975.68","641,872.00",3.94,United States,NASDAQ,USD,1,USD,-
PVBC,PROVIDENT BANCORP INC,Financials,Equity,"2,495,794.84",0,"2,495,794.84","315,524.00",7.91,United States,NASDAQ,USD,1,USD,-
NKTR,NEKTAR THERAPEUTICS,Health Care,Equity,"2,482,789.06",0,"2,482,789.06","4,070,146.00",0.61,United States,NASDAQ,USD,1,USD,-
AFMD,AFFIMED NV,Health Care,Equity,"2,482,930.75",0,"2,482,930.75","3,288,650.00",0.76,Germany,NASDAQ,USD,1,USD,-
NAUT,NAUTILUS BIOTECHNOLGY INC,Health Care,Equity,"2,469,244.05",0,"2,469,244.05","904,485.00",2.73,United States,NASDAQ,USD,1,USD,-
RBOT,VICARIOUS SURGICAL CORP CLASS A,Health Care,Equity,"2,459,226.00",0,"2,459,226.00","1,171,060.00",2.1,United States,New York Stock Exchange Inc.,USD,1,USD,-
MKFG,MARKFORGED HOLDING CORP,Industrials,Equity,"2,451,811.36",0,"2,451,811.36","2,427,536.00",1.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
NC,NACCO INDUSTRIES INC CLASS A,Energy,Equity,"2,452,329.90",0,"2,452,329.90","82,905.00",29.58,United States,New York Stock Exchange Inc.,USD,1,USD,-
VLD,VELO3D INC,Industrials,Equity,"2,379,322.36",0,"2,379,322.36","1,265,597.00",1.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
ATHA,ATHIRA PHARMA INC,Health Care,Equity,"2,358,353.06",0,"2,358,353.06","783,506.00",3.01,United States,NASDAQ,USD,1,USD,-
HNST,THE HONEST COMPANY INC,Consumer Staples,Equity,"2,358,462.26",0,"2,358,462.26","1,531,469.00",1.54,United States,NASDAQ,USD,1,USD,-
RXT,RACKSPACE TECHNOLOGY INC,Information Technology,Equity,"2,352,677.85",0,"2,352,677.85","1,375,835.00",1.71,United States,NASDAQ,USD,1,USD,-
QUAD,QUAD GRAPHICS INC CLASS A,Industrials,Equity,"2,347,422.00",0,"2,347,422.00","670,692.00",3.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
CSTE,CAESARSTONE LTD,Industrials,Equity,"2,334,587.40",0,"2,334,587.40","507,519.00",4.6,Israel,NASDAQ,USD,1,USD,-
GWH,ESS TECH INC,Industrials,Equity,"2,321,414.32",0,"2,321,414.32","1,772,072.00",1.31,United States,New York Stock Exchange Inc.,USD,1,USD,-
UEIC,UNIVERSAL ELECTRONICS INC,Consumer Discretionary,Equity,"2,314,232.25",0,"2,314,232.25","280,513.00",8.25,United States,NASDAQ,USD,1,USD,-
AIRS,AIRSCULPT TECHNOLOGIES INC,Health Care,Equity,"2,308,606.11",0,"2,308,606.11","292,599.00",7.89,United States,NASDAQ,USD,1,USD,-
FOSL,FOSSIL GROUP INC,Consumer Discretionary,Equity,"2,294,536.30",0,"2,294,536.30","1,057,390.00",2.17,United States,NASDAQ,USD,1,USD,-
RAD,RITE AID CORP,Consumer Staples,Equity,"2,294,688.76",0,"2,294,688.76","1,260,818.00",1.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
OCGN,OCUGEN INC,Health Care,Equity,"2,297,373.40",0,"2,297,373.40","4,882,834.00",0.47,United States,NASDAQ,USD,1,USD,-
WULF,TERAWULF INC,Information Technology,Equity,"2,277,889.90",0,"2,277,889.90","1,592,930.00",1.43,United States,NASDAQ,USD,1,USD,-
